"product_url";"price";"location";"description";"title"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"/p/single-room-flatshare/looking-for-large-room-with-great-london-views-deptford-room-available-now-/1146424897";"128pw";"South East London, London";"Large COSY Bedroom Available NOW in Zone 2.
Price: 128 PW Single, 145 PW Double
400 deposit required and will be refunded once leaving the room.
All bills included
Min 3-months stay
ALL the amenities provided:
Comfortable bed;
W";"LOOKING FOR LARGE ROOM with Great LONDON Views?? DEPTFORD ROOM AVAILABLE NOW!"
"/p/single-room-flatshare/single-room-to-let-house-share/1146064701";"650pm";"Kilburn, London";"All bills included , brand new refurbished house, shared by three young professionals.
Looking for a responsible, tidy and clean house mate.
5 min from Kilburn Tube Station ( Jubilee) and Brondesbury Overground Train Station
Lots of shops and pu";"Single Room to let / House Share"
"/p/single-room-flatshare/lovely-room-facing-the-garden-in-n17-all-bills-included-/1142558822";"125pw";"Seven Sisters, London";"A lovely room facing the garden in a quiet residential area. We are a friendly and quiet married couple renting out one room in our 2 bedroom flat, to a happy, friendly and outgoing person. You will be sharing a kitchen and bathroom with us and even";"LOVELY ROOM FACING THE GARDEN IN N17, ALL BILLS INCLUDED"
"/p/single-room-flatshare/28th-december-single-room-in-south-quays-only-135pw-bills-wifi-included-/1146562790";"135pw";"Isle of Dogs, London";"6 Bedroom House
Bathroom & Toilet
Shower & Toilet
Large Kitchen
Garden
IF YOU ARE UNABLE TO ATTEND A VIEWING OR YOU ARE NOT IN LONDON THEN BOOK THIS ROOM WITH THE 300 RESERVATION DEPOSIT!
Admin fee - 197 ( One off payment )
4 weeks d";"28th December !!!! Single Room in SOUTH QUAYS ONLY 135PW BILLS + WIFI INCLUDED !!"
"/p/single-room-flatshare/large-bright-room-with-garden-available-now-92-p-week.-deptford-bridge-dlr-station-4-minutes-walk./1146426270";"92pw";"Greenwich, London";"Hi there,
this lovely single room features a single bed, large wardrobe, WiFi connection, laminated floor.
Kitchen and Bathroom to be shared.
Price: 92 per week
Deposit 400
Min 3-months stay
DEPTFORD High Street is a great area with";"Large Bright Room with GARDEN Available Now 92 p/week. Deptford Bridge DLR station 4 minutes walk."
"/p/single-room-flatshare/spacious-single-room-in-central-london-available-now-10min-walk-from-oxford-circus/1147107285";"180pw";"Camden, London";"Lovely double room for a single person available now in central london!
Room fully furnished, double bed , desk , and wardrobe.
Located only 10 min walk away from Oxford circus , camden town and regents park!
Supermarkets next door
Several tub";"Spacious single room in Central London available now, 10min walk from Oxford circus"
"/p/single-room-flatshare/box-room-to-let/1147106648";"65pw";"Heathrow, London";"Box Room To Let on Stains Road, Hounslow. Suitable for single working man or woman. Looking for vegetarian and non smoker person.
A NON KITCHEN USER. i.e. No Cooking!
Microwave available!
All bills included as well as WIFI available.
Near by b";"Box Room To Let"
"/p/single-room-flatshare/single-room-for-rent/1147106254";"105pw";"Newham, London";"Hello , I have a single room in Clifford road , Canning Town
Rent :105/week
Including all utility bills, internet and council tax.
-2 toilet with shower, garden .private parking
- 1 mins walk to 24 hours bus stop, 4/5 mins walk to star lane dl";"Single room for rent"
"/p/single-room-flatshare/nice-single-room-available-canning-town/1147105927";"105pw";"Newham, London";"Hello , I have a single room in Clifford road , Canning Town
Rent :105/week
Including all utility bills, internet and council tax.
-2 toilet with shower, garden .private parking
- 1 mins walk to 24 hours bus stop, 4/5 mins walk to star lane dl";"Nice single room available @canning town"
"/p/single-room-flatshare/single-room-to-let/1147104988";"110pw";"Stratford, London";"*Fully Furnished Single room*
2 x Single room, avaliable to be viewed in a good location. This clean house well looked after.
There're also shops: TK Max, Next, ASDA super store, Currys, B&Q, Fitness First and etc.
There is: a microwave, kettle";"Single room to let"
"/p/single-room-flatshare/single-room-in-w2-from-23dec-4jan/1147104798";"14pw";"Westminster, London";"I'm going to rent out a single room in W2 under the holiday break. Available from 23.dec- 4.jan!
Closest station: Edgware road, Paddington and Marble Arch.
Rent: 14  /day.
Deposit: negotiable.
All included, Wifi, Washing machine, Common spacious";"Single room in W2 from 23dec-4jan"
"/p/single-room-flatshare/single-room-in-good-location-close-to-city/1147103624";"110pw";"Tower Hamlets, London";"Single room in good location - 3 min station and buses incl night bus.
15 min by tube to city, 5 min Canary Wharf
There are 2 supermarkets around, shops, take aways within 5 min walk.
There is a desk and a chair wardrobe and bed. There is a goo";"Single room in good location close to city"
"/p/single-room-flatshare/2-single-room-4-6-mints-finsbury-park-camden-town-arsenal-holloway-road-kings-cross-euston/1147102973";"90pw";"Islington, London";"1 single rooms at same house with garden and 2 w/c. Our friends left,
Therefore We need somebody new in our flat. We also have single room at the same house
The flat is close to: 4-5mints Finsbury Park,Camden Town,Arsenal+ +single room at same hou";"2 single room 4-6 mints Finsbury Park,Camden Town,Arsenal, Holloway Road,Kings Cross, Euston"
"/p/single-room-flatshare/2-single-room-3-6-mints-finsbury-park-camden-town-arsenal-holloway-road-kings-cross-euston/1147102929";"90pw";"Islington, London";"My friends are leaving the flat.
Therefore We need somebody new in our flat. We also have single room and twin at the same house
The flat is close to: 4-5mints Finsbury Park,Camden Town,Arsenal+ +single room at same house. Many night buses and g";"2 single room 3-6 mints Finsbury Park,Camden Town,Arsenal, Holloway Road,Kings Cross, Euston"
"/p/single-room-flatshare/room-stratford/1147102703";"370pm";"Plaistow, London";"Room in Stratford, 370 pm. Pls contact Nina 079 422 74 022";"Room Stratford"
"/p/single-room-flatshare/single-room-available-near-brunel-university-/1147102633";"350pm";"Uxbridge, London";"Dear all,
A single room is available in a shared house near Brunel University . Hillingdon Hospital is near to the house, too. Buses services available .
The neighbourhood is quiet ...most of the neighbours are students.
The room has all f";"Single room available near Brunel University"
"/p/single-room-flatshare/single-room-available-all-saints-dlr-underground-station-poplar-canary-wharf/1147102078";"115pw";"Tower Hamlets, London";"About the flat:
A beautiful flat (excellent location!) with cool environment sharing with young Business Professional, European working in Canary Wharf/the city
- Just furnished the flat
- 4 rooms in total
- Friendly flatmates
- Fully fi";"Single Room- Available @ All Saints DLR (Underground) Station, Poplar, Canary Wharf"
"/p/single-room-flatshare/single-room-fully-furnished-near-forest-gate-station-buss-stop-very-close-wifi-/1147102052";"100pw";"Stratford, London";"Double and single ROOMS AVAILABLE IN NEWLY REFURBISHED PROPERTY (ZONE 2)
3 French university students living at the moment ,,,,
, ,,E7 0DL,,postcode
,,Please check the postcode to find the location -
( HOLIDAY MAKERS WEL";"Single room fully furnished ,near forest gate station ,,buss stop very close ,,wifi ,,"
"/p/single-room-flatshare/single-room-fully-furnished-free-wifi-at-property-close-to-forest-gate-station-/1147099361";"90pw";"Stratford, London";"Double and single ROOMS AVAILABLE IN NEWLY REFURBISHED PROPERTY (ZONE 2)
3 French university students living at the moment ,,,,
, ,,E7 0DL,,postcode
,,Please check the postcode to find the location -
( HOLIDAY MAKERS WEL";"Single room ,fully furnished ,free wifi at property ,,close to forest gate station,,,"
"/p/single-room-flatshare/large-loft-room-to-let-at-great-location-no-cooking-no-guests-hangerlane-ealing-london/1147098136";"105pw";"Ealing, London";"NO COOKING IN KITCHEN & No Guests please, hence cheaper rent quoted.
- Perfect for people working in central London, Park Royal, Ealing Broadway and Westfield Shopping Centre
- Close to Hanger lane tube station (Central line), North Circular roa";"Large loft room to Let at great location (No cooking & No Guests)Hangerlane-Ealing-London"
"/p/single-room-flatshare/single-bedroom-putney-very-nice-area.-available-on-monday-/1147097604";"134pw";"Putney, London";"Single Room available on the 21st of December.
A well-presented split-level apartment spread over two floors, it is conveniently located in zone 2 and within easy reach to transport links. The property comprises of an open plan kitchen/reception";"Single bedroom, Putney, very nice Area. Available on Monday!!"
"/p/single-room-flatshare/single-room-is-available-for-indian-lady/1147097174";"350pm";"Hounslow, London";"single room is available for indian lady. it is fully furnished room all bills are included.";"SINGLE ROOM IS AVAILABLE FOR INDIAN LADY"
"/p/single-room-flatshare/single-room-is-available-for-indian-lady/1147096697";"400pm";"Hounslow, London";"single room is available for indian lady. It is fully furnished room all bills are included in rent. It is very near to high street,bus stop and central tube station.";"SINGLE ROOM IS AVAILABLE FOR INDIAN LADY"
"/p/single-room-flatshare/single-room-to-rent-beckton-dlr-/1147096457";"115pm";"Barnet, London";"1 bedroom fully furnished to rent in Beckton east London all bills included 2 minutes walk Beckton dlr asda 3 minutes walk contact Kate 07952 964292 1 month rent 1 month deposit contact Kate 07952 964292";"Single room to rent Beckton dlr"
"/p/single-room-flatshare/sing-room-to-rent-all-bills-included-115/1147096234";"115pm";"Barnet, London";"1 bedroom fully furnished to rent in Beckton east London all bills included 2 minutes walk Beckton dlr asda 3 minutes walk contact Kate 07952 964292 1 month rent 1 month deposit";"Sing room to rent all bills included 115"
"/p/single-room-flatshare/single-room-available-from-05-01-16/1147095957";"525pm";"Wimbledon, London";"The room is a double size and it is been offered fully furnished.
Room benefits from good space, storage, wardrobe, chest drawers, small fridge and a double size bed.
The room would suit a friendly individual, respectful, nice and clean looking f";"Single room available from 05/01/16"
"/p/single-room-flatshare/2-single-room-available-shepherd-bush-acton-white-city-area-zone-2-west-w/1147095307";"90pw";"Acton, London";"Hi. Ready to move in immediately rooms in friendly flat.
Great area, zone 1/2 West.
Young professionals and students WELCOME
Very good conditions and clean flat, laminated throughout
The room's available for short term or long term
The flat has";"2 single room available Shepherd Bush, Acton, White City area, zone 2 West W"
"/p/single-room-flatshare/single-room-at-bethnal-green/1147095265";"120pw";"Brick Lane, London";"Beautiful area 1 - 2 zone
Rooms are available for long and short term using
Bathroom and toilet are separated
The underground station is less than 5 minutes
2 station are very close and night bus
Easy access to Liverpool Street, Brick lane,";"Single room at Bethnal green"
"/p/single-room-flatshare/roomshare-2-5-mint-bethnal-green-shoreditch-brick-lane-whitechapel-old-street-queen-mary-tesco/1147095193";"80pw";"Brick Lane, London";"Nice room to share with me young bulgarian guy, the rest of guys are international from Europe.
Someone moved out, Therefore We need somebody new in our flat.
The house is on 2 floors and laminated and its only 2 mint station.
We are young peop";"Roomshare 2-5 mint Bethnal Green,Shoreditch,Brick Lane,Whitechapel, Old Street,Queen Mary,TEsco"
"/p/single-room-flatshare/room-share-3-4-mint-bethnal-green-shoreditch-brick-lane-whitechapel-old-street-queen-mary-tesco/1147095189";"80pw";"Brick Lane, London";"Nice room to share with me young bulgarian guy, the rest of guys are international from Europe.
Someone moved out, Therefore We need somebody new in our flat.
The house is on 2 floors and laminated and its only 2 mint station.
We are young peop";"Room share 3-4 mint Bethnal Green,Shoreditch,Brick Lane,Whitechapel, Old Street,Queen Mary,TEsco"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"/p/single-room-flatshare/single-room-to-let-house-share/1146064701";"650pm";"Kilburn, London";"All bills included , brand new refurbished house, shared by three young professionals.
Looking for a responsible, tidy and clean house mate.
5 min from Kilburn Tube Station ( Jubilee) and Brondesbury Overground Train Station
Lots of shops and pu";"Single Room to let / House Share"
"/p/single-room-flatshare/lovely-room-facing-the-garden-in-n17-all-bills-included-/1142558822";"125pw";"Seven Sisters, London";"A lovely room facing the garden in a quiet residential area. We are a friendly and quiet married couple renting out one room in our 2 bedroom flat, to a happy, friendly and outgoing person. You will be sharing a kitchen and bathroom with us and even";"LOVELY ROOM FACING THE GARDEN IN N17, ALL BILLS INCLUDED"
"/p/single-room-flatshare/large-bright-room-with-garden-available-now-92-p-week.-deptford-bridge-dlr-station-4-minutes-walk./1146426270";"92pw";"Greenwich, London";"Hi there,
this lovely single room features a single bed, large wardrobe, WiFi connection, laminated floor.
Kitchen and Bathroom to be shared.
Price: 92 per week
Deposit 400
Min 3-months stay
DEPTFORD High Street is a great area with";"Large Bright Room with GARDEN Available Now 92 p/week. Deptford Bridge DLR station 4 minutes walk."
"/p/single-room-flatshare/28th-december-single-room-in-south-quays-only-135pw-bills-wifi-included-/1146562790";"135pw";"Isle of Dogs, London";"6 Bedroom House
Bathroom & Toilet
Shower & Toilet
Large Kitchen
Garden
IF YOU ARE UNABLE TO ATTEND A VIEWING OR YOU ARE NOT IN LONDON THEN BOOK THIS ROOM WITH THE 300 RESERVATION DEPOSIT!
Admin fee - 197 ( One off payment )
4 weeks d";"28th December !!!! Single Room in SOUTH QUAYS ONLY 135PW BILLS + WIFI INCLUDED !!"
"/p/single-room-flatshare/looking-for-large-room-with-great-london-views-deptford-room-available-now-/1146424897";"128pw";"South East London, London";"Large COSY Bedroom Available NOW in Zone 2.
Price: 128 PW Single, 145 PW Double
400 deposit required and will be refunded once leaving the room.
All bills included
Min 3-months stay
ALL the amenities provided:
Comfortable bed;
W";"LOOKING FOR LARGE ROOM with Great LONDON Views?? DEPTFORD ROOM AVAILABLE NOW!"
"/p/single-room-flatshare/central-line.-nice-clean-single-room-in-friendly-house-share-near-tube-and-shops.-/1147095074";"120pw";"Leyton, London";"Hello :-)
We are looking for a professional between the ages of 25 and 38 to join us in our very friendly and sociable house share in Leyton.
It is a good sized single room.
Your room is on the second floor. It is carpeted and clean with a singl";"Central line. Nice clean single room in friendly house share near tube and shops."
"/p/single-room-flatshare/wonderful-single-bedroom-bills-included-zone-2-furnished/1147094143";"120pw";"Hackney, London";"2 SINGLE BEDROOM TO RENT !!!! BILLS INCLUDED AND FULLY FURNISHED
LOVELY FLAT WITH 4 ROOMS IN TOTAL
5 MIN WALK TO RECTORY ROAD ( OVERGROUND)
***ZONE 2***";"WONDERFUL SINGLE BEDROOM***BILLS INCLUDED**ZONE 2***FURNISHED"
"/p/single-room-flatshare/sunny-quality-room-for-1-inc-wifi-bills-clean./1147093622";"165pw";"Chiswick, London";"Newly available, fully furnished, quality room for ONE long term professional offering rare combination: company + privacy. Lovely, quiet residence offering a good standard of life in peaceful and secure surroundings.
Airy and light room on the fi";"Sunny, quality room for 1 inc wifi/bills/clean."
"/p/single-room-flatshare/a-stunning-single-bed-room-350-pcm/1147093537";"350pm";"Sutton, London";"A stunning Single bed room in refurbished house with garden, very clean, homely & relaxing.
The property is located in Carshalton. Very Close to St Helier Hospital (3mins Walking)
1 mile away from Carshalton National train station and 980 meters";"A stunning Single bed room 350 PCM"
"/p/single-room-flatshare/to-let-nice-large-room-in-quiet-non-smoking-place-in-zone-2-west-north-west-london/1147092916";"105pw";"Wembley, London";"THERE IS ONE NICE LARGE FULLY-FURNISHED ROOM IN A VERY QUIET HOUSE NOT FAR FROM A ZONE 2 STATION AND SHOPS.
WiFi, WASHING MACHINE AND DRYING FACILITIES,ETC
WE ARE LOOKING FOR A FRIENDLY BUT QUIET NON-SMOKER WHO I";"TO LET: NICE LARGE ROOM IN QUIET NON-SMOKING PLACE IN ZONE 2,WEST/NORTH WEST LONDON"
